Circuit.ieee13nodeckt, {EF54B8B0-C3C9-404D-BAA7-A0621D89B62D}
Bus.sourcebus, {A1608374-4E6E-4F35-9230-DD30E2565083}
Bus.650, {172D76BF-235B-4782-8802-E9A3B892F98A}
Bus.rg60, {A7B869C4-E5B3-4972-9499-B522E30944EE}
Bus.633, {B8DEE164-AA20-4DE8-A682-80E4BC97A9F5}
Bus.634, {E945FDDB-7C78-4D34-8865-287DC33A69BD}
Bus.671, {2F2522CB-2C02-4092-9315-05D2C31B7446}
Bus.645, {A28EA553-C069-4166-8BB8-213FD193F270}
Bus.646, {18B24374-8727-44C7-9250-73A0FA31D715}
Bus.692, {A1AD3055-60AA-4D80-BA36-C40DD4A4A5AB}
Bus.675, {A8C0BD4A-9C70-4485-A32E-E86AADA6A849}
Bus.611, {9EEEA2BC-9306-48F3-A449-651188A595C1}
Bus.652, {0EC9EA9D-FE9D-40E5-9D5F-1C08F12B8E4B}
Bus.670, {5CE9538D-B1A8-4FE2-9DB6-DCF9D94FBD13}
Bus.632, {F27D60C8-2A1E-45F9-965A-08B2B4025551}
Bus.680, {72C2A3ED-4D73-41D0-9655-0E580A81E743}
Bus.684, {07A85DB6-401A-46BE-97FE-B9C428CF0FF6}
Vsource.source, {5B21F508-3EB3-4C4D-ACEE-E6729CD3BBE9}
Transformer.sub, {17CCF92F-0687-4A93-8F2B-6839D2955778}
Transformer.reg1, {BB51ACA7-3B76-479F-B78D-EAC96D287F08}
RegControl.reg1, {6B5A90DC-EC41-422A-9604-E9758506C14D}
Transformer.reg2, {48E3BE71-51C3-43D6-BA9C-CEC7DAC5C715}
RegControl.reg2, {C94B4FE4-C33E-42A1-8E0E-60A50E01CF9B}
Transformer.reg3, {0E67567C-E157-4912-81AD-2F84C4FD54D1}
RegControl.reg3, {99F480F7-F5D6-4AF8-A412-75F376F87841}
Transformer.xfm1, {AAE281FA-327B-4867-A65F-5F568D7AC793}
Load.671, {B2AB9A0D-CED2-4CE3-8394-DF8788FF1D12}
Load.634a, {995E3C2A-B72F-461C-95F8-D106153F677F}
Load.634b, {3E4D6FCB-188B-45B2-85D0-5875A2E52007}
Load.634c, {4987F7EA-E0C0-451A-A949-2A82F69C2064}
Load.645, {D0B339CC-4CB0-4AA9-A40C-125EA67C67F5}
Load.646, {9CE7ABFE-6952-4035-80F6-FFADD7B0C6C0}
Load.692, {850B91E5-1BD0-41BE-8E9D-0425800F9B27}
Load.675a, {69A8DA61-8CB0-44A5-8E92-F77EE61E1134}
Load.675b, {A8201E50-4645-4EC3-9147-696D54A59A64}
Load.675c, {D4003692-40AF-40EC-8DF0-B134F90F4983}
Load.611, {9511E823-BDF5-4DB5-8E1A-2F242CEA761E}
Load.652, {1A7566DB-982C-4292-AB99-66FC1D864700}
Load.670a, {DEF01D8D-DD58-46C5-B817-2F696091CCFA}
Load.670b, {0E438EC9-A891-48C2-901F-CF26F97A3679}
Load.670c, {A93BB2FF-EE8F-446E-AE8F-83041056B615}
Capacitor.cap1, {3EC3A1E7-A83A-4B91-97CA-44624671BCDE}
Capacitor.cap2, {498E3180-5751-4DAA-A1E5-B7AEDDA6F1DB}
Line.650632, {F13C7E3A-1A9F-441D-8149-E497CBFD4425}
Line.632670, {B81D6EC0-6126-4D61-96BE-AC8966C3E345}
Line.670671, {F0540872-2643-4036-A5BE-F3381CEF092A}
Line.671680, {E608B7B2-A6BC-4E4B-9756-CF06CCA67FB1}
Line.632633, {1B50F56C-835B-4081-BD61-6A1BE62E6645}
Line.632645, {05DBFAF3-09A2-4152-AAC2-DD7F309E9BEF}
Line.645646, {EA79C84E-30BA-44B2-AAE9-72F2D1CC1F1A}
Line.692675, {CB31FB42-1A0E-4A4A-8FC0-EC0AC3C10E71}
Line.671684, {E0DC1A9A-E60A-45C7-8260-B65110B541BC}
Line.684611, {ACEEAB99-765B-4292-AD90-FE3ACF9FA178}
Line.684652, {6FD7A26C-919D-4E8C-B386-B10379344664}
Line.671692, {CCE61AC2-4B46-4CFA-9318-0CB64775642A}
LineCode.1, {DB19DD14-4CBE-4880-9D85-67253F87603F}
LineCode.2, {2B04CB6A-9155-43B7-9958-46FAF35F859C}
LineCode.3, {905D0EA9-67D3-492C-A0E4-971C1B215FD3}
LineCode.4, {C735FB1C-8A24-4A43-92C4-8158A9ED0449}
LineCode.5, {D2E34F58-2456-459A-888A-C9A2710D540D}
LineCode.6, {1B2A8FC5-8218-4A58-B5A1-F842E5F9F143}
LineCode.7, {A2E86C65-7A9A-4F22-A554-FF4F5A593F04}
LineCode.8, {63F7D850-87C2-4358-A452-1D5DCD2866A0}
LineCode.9, {85865766-F84F-4C35-B6AA-2DEE6925D476}
LineCode.10, {4E905F4B-E496-400E-99F0-747A3AE2B730}
LineCode.11, {05C9AE8C-F88D-4979-80AD-07DE14F8B5A4}
LineCode.12, {12F8296F-4102-4430-9A9E-8D67B78530AE}
LineCode.300, {A09FCDC6-0731-4467-9542-6EF84917DA42}
LineCode.301, {185AF69D-712C-4969-9A2D-DD64C3779E89}
LineCode.302, {C6615281-0207-423A-8944-D312DFBEDE77}
