Circuit.cim_der, {446686CE-2A6C-4775-8A5A-DA4760477919}
Bus.sourcebus, {4A92723F-F72B-4A37-8870-2FE82D606727}
Bus.lv, {C72A862B-38C0-4F54-87C4-77B7B11B96E0}
Bus.house, {287D5FAD-3E34-4D11-9730-02452D556C89}
Vsource.source, {A1322B0F-90B8-499B-AC6C-0D9A1478D803}
Transformer.xfm1, {A3644032-0FFB-4C5E-962A-ACD717367B45}
Transformer.tpole, {FCDDA2C9-01D3-4AB7-821F-92A1D9FA018E}
Generator.gen1, {383F7080-0656-45E6-BEAF-D48A2FFBAB6A}
Generator.gen1ph, {DEC4E297-E832-497A-8E33-D4DDFE72DAA9}
PVSystem.pv1, {959CB24D-44DC-49F4-811B-B38CFB19EE97}
PVSystem.pv2, {B29073EB-5837-470E-B8D1-A64EB90CD2E8}
PVSystem.pvsec, {1591D797-F972-4184-923F-441F0905E5CC}
Storage.bat1, {298D6CA9-59CC-44FB-848A-8FBA7EDC1016}
Storage.bat2, {B3EC4613-4E68-44CE-919C-F9B80EE384C1}
Storage.batsec, {0A4FC940-6E63-42E4-BACA-006ED1C9C04E}
InvControl.vv, {345DA64B-E86D-4617-95CF-ABC2F3B6835B}
ExpControl.exp, {1369BB77-89CF-482E-A61B-F17B97C78B86}
XfmrCode.ct5, {967041AD-DC9C-4A2A-B8D7-DA343052A5A6}
Station=Station=1, {43A88C59-ED33-4B1E-8EC6-70D3B4C1ABEB}
GeoRgn=GeoRgn=1, {C499FC5F-3D0A-46A5-8C33-C4877CF6A158}
SubGeoRgn=SubGeoRgn=1, {7399FA30-A677-424A-83FB-82CAAB3850CA}
CIMVer=IEC=1, {D5D768BC-090B-4C74-A652-F9986FC30A44}
CoordSys=Local=1, {016C6673-A1E4-44A8-A72E-0F5E4D880F24}
FdrLoc=cim_src=1, {DBB3DCB0-63B7-4C73-8114-890E33A6C645}
TopoIsland=Island=1, {7556E1EB-138B-4CCE-BFDF-009786530B47}
OpLimT=NormalAmps=1, {D5CBEA48-4C87-43AF-912A-08B865F4D3BD}
OpLimT=EmergencyAmps=1, {DA13606E-0AAF-4677-8226-2F7BAE70E6D5}
OpLimT=AHi=1, {F610987C-B17A-4B87-8CF1-3BB22414B965}
OpLimT=ALo=1, {101AA4DB-49E5-42A6-A717-68154ECDCBF1}
OpLimT=BHi=1, {93A73286-7F7E-4063-8190-6617E9B7EBF2}
OpLimT=BLo=1, {95102154-7264-4189-B9F0-A547993947ED}
BaseV=BaseV_0.2080=1, {1C6DFCB1-E8E6-4E74-A8BD-E543BCBE07D6}
OpLimV=OpLimV_0.2080=1, {C7B9DA8A-2BF0-45D5-A565-48CB28F36D28}
OpLimAHi=BaseV_0.2080=1, {823055F5-07FB-460D-9C6A-6CB64301548A}
OpLimALo=BaseV_0.2080=1, {BF4955F5-2F8F-4833-B9DF-CF7191884AF0}
OpLimBHi=BaseV_0.2080=1, {5A5471A6-54F1-47D1-A9D0-1FBA9ADDAAC5}
OpLimBLo=BaseV_0.2080=1, {15376C20-8496-48D7-A793-5D768D2399ED}
BaseV=BaseV_0.4800=1, {AED22ECC-D6C7-4120-989E-A4E2A5994E73}
OpLimV=OpLimV_0.4800=1, {19CD14BC-98C7-4306-80B3-552F64811758}
OpLimAHi=BaseV_0.4800=1, {F610D7FB-3075-4E13-8E57-29AFA30EB426}
OpLimALo=BaseV_0.4800=1, {B7D2F00E-8E4A-4209-A749-C743EA6D6F8E}
OpLimBHi=BaseV_0.4800=1, {C7715254-3C21-4A5D-BD52-B29ED1266E40}
OpLimBLo=BaseV_0.4800=1, {079623EF-10AF-4410-AFA1-F8E128BBF912}
BaseV=BaseV_12.4700=1, {37AA37DC-7F62-41F0-A0D2-D5A1A631B095}
OpLimV=OpLimV_12.4700=1, {A1D16D39-4FE8-4A8D-B5F9-AC79CB8653DA}
OpLimAHi=BaseV_12.4700=1, {622D5DC4-D17F-413E-8852-B68C8F296F86}
OpLimALo=BaseV_12.4700=1, {84D3889A-37E6-4998-9CCB-3E3C9F6E2D8A}
OpLimBHi=BaseV_12.4700=1, {95CFCC7F-FD1C-40F4-BE9B-CEF1D6C3AF33}
OpLimBLo=BaseV_12.4700=1, {CCE8F63A-0B67-45FC-B544-09F61CCE6ECC}
BaseV=BaseV_24.9000=1, {972A7098-B542-4A72-BCA9-93901426A0CC}
OpLimV=OpLimV_24.9000=1, {48F2CB5C-EC85-49FE-8CAB-221794219233}
OpLimAHi=BaseV_24.9000=1, {885BEBF9-4358-4B45-B02F-2AC98A4BCFD3}
OpLimALo=BaseV_24.9000=1, {B46CD6D9-0DB0-41B4-BB59-1805E2DC3DEF}
OpLimBHi=BaseV_24.9000=1, {E2A69422-087D-444A-95D4-585FB61DFC54}
OpLimBLo=BaseV_24.9000=1, {45AE076B-4013-4BC3-BFB4-1311F9871AE9}
BaseV=BaseV_34.5000=1, {78871DDE-CD47-4558-B74B-3CB0709956DE}
OpLimV=OpLimV_34.5000=1, {26576080-65C5-4F0D-9A2D-1DDC188F525A}
OpLimAHi=BaseV_34.5000=1, {B9FCDFEC-E547-42E1-BB8C-B55245B0D89B}
OpLimALo=BaseV_34.5000=1, {65B90452-F7F4-449C-8ACF-CECBD25E79B9}
