Circuit.cim_lines, {7A208A6B-C550-4CD3-8FC2-5320B14B455C}
Bus.sourcebus, {61621341-A504-40D0-983A-7BC57F83671D}
Bus.b1, {D8FB61EC-F5C1-41C0-9A81-197ED43DC194}
Bus.b2, {10418DF0-8EC0-4E4D-9901-D70CB8EDB60D}
Bus.b3, {84147E41-FBCD-407D-95BD-F84BDCAFC538}
Bus.b4, {552D65B3-4685-4A0D-B862-07271012D8DC}
Bus.b5, {7ED6B3F3-C813-4F84-ADBA-A1B1A88371E6}
Bus.b6, {FC611D4F-39B1-4B6F-8CE0-3BA4286C0E62}
Bus.b7, {7D536474-EFA8-4E4D-A83B-196A75AB6382}
Bus.b8, {D96C69F9-B913-4FB0-A59F-E480BA63EACA}
Bus.b9, {DFC4DBC2-39A0-47E4-ADCB-53B1D1B753DB}
Bus.b10, {5ABF883F-ACBB-4B09-B338-D997F131713D}
Vsource.source, {97C7EC4B-9958-4BC8-ACA2-15C65E994A84}
Line.l_coded_sym, {8E0E6DA1-6391-4DA3-9652-5219E7EC802D}
Line.l_coded_mtx, {0C7D52EB-D37D-46BE-92FA-83F354CE97B3}
Line.l_coded_1ph, {38BBBDD3-9763-46B8-B272-DE974B64A65A}
Line.l_syminline, {8DD88305-3226-42F9-BA36-BD297AB075F3}
Line.l_puz, {38A57383-3B33-47BB-B997-E7962097E878}
Line.l_geom, {733EEEBD-C50B-4BE1-BAD5-92DB4E20961A}
Line.l_spac, {C6A4D971-FF23-4BFD-BFED-BCEF992C4EB1}
Line.l_cn, {54881C68-EB22-4EE1-9986-BD0D4716F96D}
Line.l_ts, {0B2214B7-80BF-468B-AD88-F07F0181E5D6}
Line.l_sw, {AA3C1F22-0879-44C3-8517-DA46233A1E21}
Fuse.fuse1, {09EFF111-E500-42EE-A6AB-D68B6CEE1F44}
Load.load_b3, {1A8C3DD4-488F-41F3-980D-0734FDBF10F3}
Load.load_b5, {00034756-66B2-497F-9EEF-BF03EFB596ED}
Load.load_b9, {7A064AB8-5927-4853-8E82-14FE5B82B822}
Load.load_b10, {A635187C-6033-4E64-97D8-DD4EF53BF05A}
LineCode.lc_sym, {4F5795C1-C3E5-4124-852D-ABDFA68333E4}
LineCode.mtx606, {83584580-A83C-4686-81D7-48DD50D3E7FC}
LineCode.mtx607, {13B2F423-D0FF-40CB-92E5-6514BD0D23A9}
WireData.acsr_556_5, {105DDA17-57A2-4BE3-B8A5-837C2482835F}
WireData.acsr_4_0, {6B2432DE-66E6-4554-A206-BB78EBF0ED3D}
WireData.cu_1_0, {A1BE2CB2-B8FA-437C-A323-674BB2C968B5}
LineGeometry.geo3ph, {35A345EC-74C8-4FFB-A291-37023C6549BC}
LineSpacing.sp500, {86D087EA-A29E-412D-8C9C-9D3A495DAEC2}
LineSpacing.sp515, {7121C053-BB5B-489B-9C99-759725D5F390}
LineSpacing.sp520, {E0D83352-3EF5-4034-9D2F-CD4B55892D94}
TSData.ts_1_0, {8BAF9B58-3863-437D-A242-ADBB625A7BFF}
CNData.cn_250, {137FE22B-9685-4EF0-837E-CCD0B404E728}
Station=Station=1, {AFD5FE90-E6FA-42B7-A6A6-73D8910DFFDF}
GeoRgn=GeoRgn=1, {B83E23F6-0C55-4758-BDE4-C773D13994B3}
SubGeoRgn=SubGeoRgn=1, {BBBFE0F3-0D52-4EAB-8F3D-95C87EEC44F6}
CIMVer=IEC=1, {463430FA-23D5-4EE8-8389-27249FB4333D}
CoordSys=Local=1, {C55831CE-0345-46FA-9CDB-8CE3CEB8FEB6}
FdrLoc=cim_lines=1, {2FCDB12F-5EAD-4032-A9D8-A6AC16F5CD56}
TopoIsland=Island=1, {D9B91E06-7DE6-465F-847F-ED532875854D}
OpLimT=NormalAmps=1, {5FF1A630-9BF8-42DE-88CF-207E49CEB004}
OpLimT=EmergencyAmps=1, {3A626F20-85F5-4528-9153-3BF53693723B}
OpLimT=AHi=1, {41F952B9-E25A-45DE-90F0-D6246382F83B}
OpLimT=ALo=1, {665E897F-1C1A-49AC-A0F1-D22871354A90}
OpLimT=BHi=1, {C362FA44-C1F6-44E6-92F0-AC53A78961C5}
OpLimT=BLo=1, {50D59CAF-4FC3-4C78-868B-98808C07BF17}
BaseV=BaseV_4.1600=1, {6CA8C3B9-E163-4D33-9936-83704DFC7C63}
OpLimV=OpLimV_4.1600=1, {B3B33095-FFDE-466A-8745-A05DB77D7E21}
OpLimAHi=BaseV_4.1600=1, {086DECD5-E691-4773-BB24-E123F61CCCE1}
OpLimALo=BaseV_4.1600=1, {669429B0-3DDA-4279-86FD-D630130CA9CA}
OpLimBHi=BaseV_4.1600=1, {D08131FC-CB3F-4A6D-9FD9-C37AD49BE82E}
OpLimBLo=BaseV_4.1600=1, {555275D9-CEEF-495A-9C32-6E5752CE62D8}
