Circuit.cim_load, {2DA224E1-CE9B-49A1-ADA1-6BBDC094A544}
Bus.sourcebus, {594828A5-3937-4991-A3FD-D193E0C78DDC}
Vsource.source, {81E1946E-B43E-4202-BD7C-CF4ED0197D58}
Load.wyeload, {C27FAE9A-E6F8-4AAA-93D9-EC1A4832673E}
Load.deltaload, {F356BD99-88EB-427A-852E-208C716C42C9}
Load.motorload, {6A6A8C29-A889-4BB9-AE42-91CE459CCB3B}
Load.cvrload, {FD10D5BF-2F51-4988-B4C4-7E51E763CC1A}
Load.ld1ph, {9A94D724-D8F7-440D-99D0-DB236B4501F8}
Load.ld2sec, {4D624DCA-5890-471F-A9DF-EC32B75285D8}
Load.ld1sec, {A862CA08-712F-43D9-A3AA-9D8C9D507BD0}
Station=Station=1, {C8D86982-C742-4F34-BB74-784EFADB2A5E}
GeoRgn=GeoRgn=1, {21C0F45A-D5CF-488C-B306-92D7069FED2E}
SubGeoRgn=SubGeoRgn=1, {962F30B5-52DB-4AAC-98D8-A25D6E9986B5}
CIMVer=IEC=1, {DC5A12DF-3191-4397-A2AA-4F7B41192B82}
CoordSys=Local=1, {613678B5-711D-4501-8026-7E985B962087}
FdrLoc=cim_src=1, {D321EA29-C6D1-4DF9-AADA-6CC0B385D7D2}
TopoIsland=Island=1, {4CB7F03E-360F-48D0-BBB9-3E8190EAF090}
OpLimT=NormalAmps=1, {DA6E1ED3-7925-447F-B78C-E0B80909B06F}
OpLimT=EmergencyAmps=1, {C280163C-9D9F-4642-BB40-88783D949297}
OpLimT=AHi=1, {1416EF51-B619-4ECF-B466-60DA8BD3A0ED}
OpLimT=ALo=1, {8736D618-D247-4507-B32A-CBFD81C0F554}
OpLimT=BHi=1, {4EDE21A6-5BC8-488E-ACFA-63DDD96660F5}
OpLimT=BLo=1, {8AE0F6DE-F7E5-4BBA-9302-834BFE1FEC33}
BaseV=BaseV_0.2080=1, {CD067321-1920-42C4-9DEA-B7EE43370718}
OpLimV=OpLimV_0.2080=1, {24DDEBDF-EFFF-4DFB-A349-5C3D7E922D3D}
