Circuit.cim_shunt, {C882CB9E-AD19-4EEC-8FAB-D9B79A240038}
Bus.sourcebus, {F78B632B-C0F2-4A63-B9D8-F7C70BA7E082}
Bus.b1, {6CEF0F39-C63C-4224-A04B-717D60923D29}
Bus.b2, {AE111608-DCC6-4AA7-AC88-1731E046DD77}
Bus.b3, {5E6DAF07-DDA8-4264-B8A2-64C611C07896}
Vsource.source, {83F91AD1-3EFD-4705-80C7-739EC19B3093}
Line.l_main, {50E5B57B-CF07-4552-9ED3-B8D53321F58D}
Line.l_br, {D2ABAD8F-9B1C-4B43-84F5-D2CCB20F30FB}
Reactor.rx, {0DE7F631-BFDB-4813-8413-34C2B38EF64E}
Capacitor.cap_wye, {B8976EBA-2D6B-4B20-B82F-47CE79296F52}
Capacitor.cap_delta, {FBFB125B-9B48-4AC5-B256-E7087D564A4C}
Capacitor.cap_1ph, {6FAF4DAB-C183-4A4C-B723-2D8BE9533E0B}
CapControl.cc_v, {ECBDDFCF-2D2E-4E8F-AEA6-23395C393B77}
CapControl.cc_i, {F2C21288-88D7-4E6F-917C-5E8C99503FE0}
Load.load_b2, {0D3C20C2-44C1-4A54-AA6A-F200BB53D904}
Load.load_b3, {311D36BD-7B30-441F-A283-9BCFE4C1E40A}
LineCode.lc1, {7FEE15EB-00A3-4536-B392-C7B7C124DA5E}
Station=Station=1, {3416E886-2742-4417-BF6A-8BD4B2ACD038}
GeoRgn=GeoRgn=1, {051C5488-154B-4B44-B6A0-5AE7B50E49AA}
SubGeoRgn=SubGeoRgn=1, {66125698-BCD4-4BD6-A026-CE9BA628D357}
CIMVer=IEC=1, {16EF3FCA-CAF9-4A8A-97C1-9913D5AE635E}
CoordSys=Local=1, {0852E10A-7B3E-41BA-AF62-ABB59B312D20}
FdrLoc=cim_shunt=1, {9CC049D7-DC15-4A4A-822C-ECDAE3B100AF}
TopoIsland=Island=1, {C46116F5-8F89-4982-9313-25322F594AE4}
OpLimT=NormalAmps=1, {076E8304-5ADE-4AD0-AAFF-A94FDF2E2ABD}
OpLimT=EmergencyAmps=1, {CB7E90EF-E06A-4CFB-BB91-97CA9DF3AF75}
OpLimT=AHi=1, {810BDE5D-64DD-437D-A243-EB985ED0F360}
OpLimT=ALo=1, {00DE71D8-52FA-413E-BBD8-854A36D45667}
OpLimT=BHi=1, {D0E5CA92-A00D-4DC5-A0CB-6B848F72F905}
OpLimT=BLo=1, {150B6C63-8051-481A-A1BC-3FCCDE389CF1}
BaseV=BaseV_4.1600=1, {B45EA3C2-6936-4C85-88CA-682AFAA49F75}
OpLimV=OpLimV_4.1600=1, {F8872C14-CD2F-400C-BAFA-4514AA8421AB}
OpLimAHi=BaseV_4.1600=1, {0CF1071D-AF4E-4775-9022-8B57045E9732}
OpLimALo=BaseV_4.1600=1, {1EA004F9-D89A-4CD0-BBF6-56B3C4CED39E}
OpLimBHi=BaseV_4.1600=1, {1D54A62D-C9FA-4532-84D9-880B982D340E}
OpLimBLo=BaseV_4.1600=1, {43592773-FB07-47D3-913A-C002AA8041C6}
BaseV=BaseV_2.4000=1, {9054AE67-606C-4852-99DB-6B64C6683BC8}
OpLimV=OpLimV_2.4000=1, {0CC98850-A6ED-4C64-B628-6F5F5AC554D6}
OpLimAHi=BaseV_2.4000=1, {F2FF392F-93FE-47F2-BB3F-F0A8395BB7F5}
OpLimALo=BaseV_2.4000=1, {46170178-FB4E-48AD-8991-94D54BA78B94}
OpLimBHi=BaseV_2.4000=1, {F4D2532D-AA30-4E6E-A57A-A17C0F26591B}
OpLimBLo=BaseV_2.4000=1, {25CB0014-0E52-400F-A6AF-69BDC9FA7CB6}
Topo=sourcebus=1, {F91D9579-5E29-4EBC-8F40-7F4BE009DE97}
Topo=b1=1, {CF79F83E-EF1F-465B-A02F-7B3BCAF83F7D}
Topo=b2=1, {A88F3947-5816-4438-9499-9428BD23B43C}
Topo=b3=1, {63EAFD4B-62EC-457D-AB25-DBEA4E7D0770}
SrcLoc=source=1, {04024B08-FA1E-476B-A401-411AA8F69F14}
25=source=1, {C854858B-673F-4948-ADA3-C39B72392D41}
PosPt=Vsource.source=1, {AF27689D-8F27-4E9D-9DC5-D762F4D06A55}
CapLoc=cap_wye=1, {3974DD94-A9D8-4152-9018-642E3122A559}
106=cap_wye=1, {97B44F28-BAC5-4A8E-8D27-AF03F2A09449}
OpLimI=OpLimI_112.4_149.9=0, {BF7DE96E-17FC-4BE1-A150-145703FD9A4F}
PosPt=Capacitor.cap_wye=1, {619AAE54-E18A-427D-AD55-D4723527352F}
CapLoc=cap_delta=1, {6FC26615-BBD5-41E9-9802-4D04F5E6668D}
106=cap_delta=1, {DC2B7161-9807-4F0C-8BEF-E1060B59DC8B}
OpLimI=OpLimI_32.5_43.3=0, {C04DD9E6-6C99-4B62-B75B-2CAB73A3CF24}
PosPt=Capacitor.cap_delta=1, {172F868A-B64F-4B68-8561-A509D8255FFC}
CapLoc=cap_1ph=1, {4B149A6B-BA4C-4F3B-AC9C-DA5D99CF6954}
CapPhase=cap_1ph_A=1, {58A70DAC-D050-44FD-838A-3B7063AE0EFA}
106=cap_1ph=1, {4CF69D54-B8A0-4835-B75F-8C09C7B6EE90}
