Circuit.cim_src, {F2B20B7D-2D9E-4706-BB48-06B9EF14337A}
Bus.sourcebus, {EFA54587-C327-414A-A7DE-3004A8875D8C}
Vsource.source, {4F3E4117-17DD-49D1-9D72-98A62642C432}
Station=Station=1, {9419E248-B5F5-4754-AD6A-ED198BF8462B}
GeoRgn=GeoRgn=1, {95D54995-2E47-4C85-8C99-42B610B91131}
SubGeoRgn=SubGeoRgn=1, {289934F5-C4CF-45E4-9C63-4D0E3279B7D8}
CIMVer=IEC=1, {EE0EFA9C-7CCD-4270-ABD0-2DD2ECC98129}
CoordSys=Local=1, {810244BE-FB4D-44D1-BB9B-CBE57AFAA874}
FdrLoc=cim_src=1, {5BF49F5A-C5A1-46FD-9869-EBB0F76312D6}
TopoIsland=Island=1, {E4C69B65-BA0D-4FAE-A47D-4A7B26261DE5}
OpLimT=NormalAmps=1, {1C4AE141-2AD9-4AD1-B488-7D907AE7DDB9}
OpLimT=EmergencyAmps=1, {88B64283-BB2C-48C0-9891-45E2055DDEB8}
OpLimT=AHi=1, {3B325213-EBF4-46AA-9343-894227913A45}
OpLimT=ALo=1, {7F8745A5-B03B-4FD0-A033-7E116A0C0446}
OpLimT=BHi=1, {842EA399-F058-4C11-A5DD-44274C9AEF1C}
OpLimT=BLo=1, {05EC3400-843B-4036-88C8-375205F20474}
BaseV=BaseV_0.2080=1, {13B73713-870F-4CE4-9350-91AA6BB70465}
OpLimV=OpLimV_0.2080=1, {D5272893-7076-43C9-A312-F36DBCAB6448}
OpLimAHi=BaseV_0.2080=1, {4D7602C5-7730-49F4-90D1-E3E1310AAD38}
OpLimALo=BaseV_0.2080=1, {DACE90DE-B12A-49AA-A8CE-0902898315DA}
OpLimBHi=BaseV_0.2080=1, {3210CC3C-620F-422B-98B5-281836C3FE22}
OpLimBLo=BaseV_0.2080=1, {F7DB98B9-4D0B-49E8-BC6F-301CC1A464F1}
BaseV=BaseV_0.4800=1, {5BD82849-9BA6-4BD7-807F-401E4B1A56F1}
OpLimV=OpLimV_0.4800=1, {13E24789-E069-4F3E-B11D-C3C91F134D40}
OpLimAHi=BaseV_0.4800=1, {646BBE7D-6448-48C7-AFF4-C76A442422AE}
OpLimALo=BaseV_0.4800=1, {01D4D190-2DA0-4B96-AAC5-2178FD7AFECA}
OpLimBHi=BaseV_0.4800=1, {C4D2E53C-ADEE-41A5-B444-38A0539A9B77}
OpLimBLo=BaseV_0.4800=1, {AB380CAE-6279-4020-B931-D8A0DD84DC59}
BaseV=BaseV_12.4700=1, {D8C967C7-51E2-44A8-9430-E778EB55C7A8}
OpLimV=OpLimV_12.4700=1, {814A48F5-909F-4C70-BD98-5FE7D6DC39C9}
OpLimAHi=BaseV_12.4700=1, {E46A806B-7021-405B-8C16-281C305CE918}
OpLimALo=BaseV_12.4700=1, {2C3DA942-0FAF-494F-BF3D-ECAE1BEFFE4F}
OpLimBHi=BaseV_12.4700=1, {657F2634-E46A-4A79-9F80-D36BDD94A59D}
OpLimBLo=BaseV_12.4700=1, {D216CEC8-68DC-4E82-AA27-3D12AD610860}
BaseV=BaseV_24.9000=1, {59676EAB-13D2-44B8-A35C-2D478218D808}
OpLimV=OpLimV_24.9000=1, {5F58602A-DA16-459D-A76A-01D69BA4FD08}
OpLimAHi=BaseV_24.9000=1, {98D27446-9097-4288-9B02-9952EC6074DB}
OpLimALo=BaseV_24.9000=1, {36652ABC-F9B7-43CB-AA9D-6C759BD8E539}
OpLimBHi=BaseV_24.9000=1, {FE00B27C-BA8D-476E-B8C5-4B383254CCA7}
OpLimBLo=BaseV_24.9000=1, {1AE70761-58DF-45D0-A7DF-3097DE08BCC7}
BaseV=BaseV_34.5000=1, {6F7BE5DF-BB10-49A3-8FE7-200983CEDD0A}
OpLimV=OpLimV_34.5000=1, {CEC679BF-C93C-4850-A004-E82C7B82C1C8}
OpLimAHi=BaseV_34.5000=1, {21738CAD-5F01-48EC-8242-221BF0EE9261}
OpLimALo=BaseV_34.5000=1, {6A593A9F-DD19-4883-879A-05C6AF1238F4}
OpLimBHi=BaseV_34.5000=1, {5F211B93-B724-4319-A54B-932885FC6BF6}
OpLimBLo=BaseV_34.5000=1, {DFCF7233-B7EC-4523-876E-E0889FED12C7}
BaseV=BaseV_115.0000=1, {E30C3FBA-09DD-4267-95A7-2AF82F390441}
OpLimV=OpLimV_115.0000=1, {08944495-65EB-48B3-9794-DD65A7134B72}
OpLimAHi=BaseV_115.0000=1, {2AEAB80C-3661-439E-B938-DF7C2E6C8C1A}
