Circuit.cim_xfmr, {7D6BFC5C-A334-4C79-98FF-11BE76DC80C8}
Bus.sourcebus, {86375A14-2D16-465C-A4EC-1EBE3D2BB01B}
Bus.low, {7CABC0BC-9A26-44EF-B6C7-3BB6D6D487BC}
Bus.tert, {2768369D-6FB0-438E-A35F-2A08C672E374}
Bus.sub2, {E736813C-97AF-4CD8-AB1F-F1B77F304360}
Bus.mid2, {70E315E3-8963-42D9-A8F7-E35D8EC7438A}
Bus.mv, {3B504A7B-E3A1-49D8-8AAC-F0CCA06604F3}
Bus.regout, {0585AAC7-B38A-4CF2-B747-BF2392CA2ACA}
Bus.lv2, {312C8B2C-7276-427B-ACEA-ED0367CEE587}
Bus.load2, {E0C2A0D1-7FCF-495F-A16B-71F4AD532C5C}
Bus.lv3, {ECF44DDB-C809-44C3-919C-B74550C67466}
Bus.tert3, {93EC62F8-A2F4-4043-8FF7-007FC846DB86}
Vsource.source, {7F373086-68CE-4845-8B56-E7211CB5C836}
AutoTrans.t1, {4E267F95-A9A4-4526-A560-F90CCC536078}
Load.l161, {ED7DA208-22F0-4366-8BF5-E4160D254BA1}
Load.l138, {4EBC734E-8547-4FDC-96E4-9FEA28FE249B}
Vsource.s2, {348700D7-0229-4E2F-B240-2B92C41BA8D1}
AutoTrans.t2, {396F6043-99DF-45D0-B485-632611AB60F2}
Load.l69, {C5A30514-57F1-43A4-A2AF-23E488B922B3}
Transformer.sub, {E2373533-9117-4258-9525-7CB4DB4A4B1E}
Load.loadmv, {C64FC80B-6C1D-427D-BC05-C6DCE4FEEBCE}
Transformer.reg1t, {DAE2ED3B-69F4-469D-9376-DA3859323D7A}
Transformer.reg2t, {CE82E146-FF5B-4A06-96D8-7605C1819BFF}
Transformer.reg3t, {D57693DD-0038-46F7-B85E-5BB23243565A}
RegControl.creg1, {8038ACA2-8DA3-4A21-86BE-2AA1F0B72D58}
RegControl.creg2, {CFA399AD-217A-4E18-BC42-FC2BA5A1E84C}
RegControl.creg3, {01F6F738-95F2-478B-841A-2D84C31DDBC9}
Load.lreg, {57375BE3-5222-4705-B829-5912CE102D61}
Line.lc_feed, {AD932475-0E24-49CB-B7AD-37555A0531F7}
Transformer.xfcoded, {DB6E0748-46A3-4F96-9DDF-A0BD2A2F015B}
Load.load2, {79DE72E6-7002-436F-A519-B28914772414}
Transformer.t3w, {A5A9D5B1-C532-4D53-8A2A-5810EAB2149A}
Load.load3, {72995052-4528-4299-BFA4-26E6172C4524}
XfmrCode.tc1, {E6E99C50-A44B-464B-9C77-801B0900C93C}
XfmrCode.cimxfmrcode_reg1t, {F9B56AD7-272B-47AC-8BE4-F6C0DC5ABEB2}
XfmrCode.cimxfmrcode_reg2t, {A14C5A21-D152-4BBB-9BFF-E0DAE3C2F44E}
XfmrCode.cimxfmrcode_reg3t, {C5264634-E5CA-4D52-9EB9-E8C12E9B470B}
Station=Station=1, {819B0BA7-462D-4052-A6DD-C36BF455BA39}
GeoRgn=GeoRgn=1, {E899CBA9-4DC5-4AF7-8E7A-977FDF04098D}
SubGeoRgn=SubGeoRgn=1, {9D092DA2-B56D-4ADC-9DD3-81A3957AEFFF}
CIMVer=IEC=1, {75ED276D-B6F9-4C05-8693-701677BA5D19}
CoordSys=Local=1, {D99A1BDD-92A2-4894-BD7B-F995130BE41C}
FdrLoc=cim_xfmr=1, {96019F84-0471-4121-BA29-6581030C10BB}
TopoIsland=Island=1, {F3FB0DE8-B890-434D-B841-D46F19B33F8E}
OpLimT=NormalAmps=1, {613AB734-4326-4D8B-8EDC-32E9EC48665C}
OpLimT=EmergencyAmps=1, {C9743038-4359-4830-84CE-4EF3FCDD3195}
OpLimT=AHi=1, {5E819551-1EB8-4167-8911-8625A1E0090F}
OpLimT=ALo=1, {34E4A12E-D878-4E3A-AF25-4BDE406150A4}
OpLimT=BHi=1, {0BBC8094-9A50-4880-B8A9-F6ECA9880E3D}
OpLimT=BLo=1, {6ADA7519-CA05-4D2E-B066-6D81BAA6FE59}
BaseV=BaseV_345.0000=1, {6C5CC957-CB08-4B54-BDB8-3224EC3E1D47}
OpLimV=OpLimV_345.0000=1, {31ACCB35-B940-42DB-A2CA-7AD387226F86}
OpLimAHi=BaseV_345.0000=1, {97304439-2ED9-4DBC-9B9E-C2FC0630FDD7}
OpLimALo=BaseV_345.0000=1, {2BFBB67E-487D-462B-BCC6-5E1B1625C259}
OpLimBHi=BaseV_345.0000=1, {8FD42523-C219-4C0C-BB2E-440A88B8DE76}
OpLimBLo=BaseV_345.0000=1, {CC84D8C3-35F6-4E53-A42F-3D21380D027E}
BaseV=BaseV_161.0000=1, {B72484D7-8854-49ED-8C0B-45351A5540E5}
OpLimV=OpLimV_161.0000=1, {BB98D28F-0F0A-4357-8B51-B05AFEC5583B}
OpLimAHi=BaseV_161.0000=1, {6C1BD2B0-F3A3-4D8B-B065-A34C8F51A806}
OpLimALo=BaseV_161.0000=1, {1B8C6888-CFDA-44CA-A24C-F5AA016E6685}
OpLimBHi=BaseV_161.0000=1, {1EBE706B-7B11-49E9-A3A1-958DCF4183B6}
OpLimBLo=BaseV_161.0000=1, {2F9AD07C-B98F-47ED-B96E-1AD33F975682}
BaseV=BaseV_115.0000=1, {DE3BABD3-9092-485A-A31D-918044B93279}
OpLimV=OpLimV_115.0000=1, {41259F59-B665-423F-8A67-7E5B82973076}
OpLimAHi=BaseV_115.0000=1, {7DE214B4-3741-45A9-848C-8BAAECE7D4DF}
OpLimALo=BaseV_115.0000=1, {5920C260-E207-4C7C-AC6D-B917696A9A19}
OpLimBHi=BaseV_115.0000=1, {BB89BFFC-49AC-4911-A1CD-224829C6E292}
OpLimBLo=BaseV_115.0000=1, {BDB9EA95-3CBE-4990-AC23-79A4D84581B2}
BaseV=BaseV_69.0000=1, {1A328AB6-1951-49C2-AADE-3DCDB07D2453}
OpLimV=OpLimV_69.0000=1, {6B18F663-7C26-474C-BD42-96979A1A2F73}
OpLimAHi=BaseV_69.0000=1, {BD13DBCB-0227-4B4A-B152-89818876C39E}
OpLimALo=BaseV_69.0000=1, {1B29FE3A-03BA-4BA6-85E3-3A9F5A9D2BF0}
OpLimBHi=BaseV_69.0000=1, {FD920D95-2F26-41EA-82C2-2D9BB2D86439}
OpLimBLo=BaseV_69.0000=1, {CA043189-9EC3-4E44-97D8-9E7707B7AEB2}
BaseV=BaseV_13.8000=1, {4C07189C-E567-4CE6-BE43-86DD0497FCDA}
OpLimV=OpLimV_13.8000=1, {8C91EDC4-B101-4B25-87E9-4FD91CDB6EFF}
OpLimAHi=BaseV_13.8000=1, {41FAD186-2C42-487D-9140-2C68EF0372C4}
OpLimALo=BaseV_13.8000=1, {E9ECC9F6-2D2E-41DE-918B-354B58B4339C}
OpLimBHi=BaseV_13.8000=1, {BA35C5BF-8C1C-4FB8-B15E-D5D375DC81C1}
OpLimBLo=BaseV_13.8000=1, {A05EFEDC-FC86-4419-8292-4B9B99899144}
BaseV=BaseV_12.4700=1, {E109B852-3154-414B-9EE6-C867F39B8121}
