circuit.uid, {00000000-0000-4000-8000-0000000000A0}
bus.src, {00000000-0000-4000-8000-0000000000A1}
bus.b1, {00000000-0000-4000-8000-0000000000A2}
vsource.source, {00000000-0000-4000-8000-0000000000B1}
line.l1, {00000000-0000-4000-8000-0000000000B2}
load.ld1, {00000000-0000-4000-8000-0000000000B3}
monitor.mon1, {00000000-0000-4000-8000-0000000000B4}
linecode.lc, {00000000-0000-4000-8000-0000000000C1}
Station=Station=1, {00000000-0000-4000-8000-0000000000D1}
GeoRgn=GeoRgn=1, {00000000-0000-4000-8000-0000000000D2}
SubGeoRgn=SubGeoRgn=1, {00000000-0000-4000-8000-0000000000D3}
